epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.442,1.07013,4.95622,1.56709,0.00432,0.83012,0.01339,0.00943,1.08594,3.70938,1.84032,0.00333108,0.00333108,0.00333108
2,1186.4,0.96263,3.99295,1.43739,0.42234,0.14584,0.06101,0.04367,1.01757,3.20384,1.71612,0.00653246,0.00653246,0.00653246
3,1771,0.95972,3.65795,1.42833,0.33756,0.15752,0.07893,0.05598,1.01265,3.14941,1.71898,0.00960184,0.00960184,0.00960184
4,2354.39,0.96376,3.38543,1.42699,0.33163,0.22713,0.1417,0.10032,1.01466,2.71932,1.71191,0.009406,0.009406,0.009406
5,2937.04,0.94599,3.05344,1.40802,0.28882,0.29022,0.19082,0.13784,0.98243,2.52281,1.65953,0.009208,0.009208,0.009208
6,3519.64,0.92945,2.87151,1.39491,0.30023,0.31905,0.22871,0.16704,0.98101,2.38798,1.64324,0.00901,0.00901,0.00901
7,4102.4,0.91338,2.73669,1.38496,0.28729,0.34924,0.26747,0.19404,0.95905,2.27583,1.61973,0.008812,0.008812,0.008812
8,4683.83,0.90333,2.63531,1.37715,0.31684,0.38,0.30772,0.22843,0.92604,2.14728,1.59601,0.008614,0.008614,0.008614
9,5264.75,0.89077,2.55879,1.36747,0.34389,0.39161,0.33342,0.24389,0.93589,2.06915,1.58835,0.008416,0.008416,0.008416
10,5846.64,0.88479,2.49194,1.36265,0.36399,0.42397,0.36273,0.26891,0.93373,1.98322,1.57341,0.008218,0.008218,0.008218
11,6427.8,0.87588,2.43431,1.35862,0.41915,0.41394,0.38973,0.29137,0.90807,1.92181,1.56019,0.00802,0.00802,0.00802
12,7008.87,0.87034,2.38382,1.35324,0.38794,0.46042,0.40854,0.3049,0.8959,1.88934,1.54761,0.007822,0.007822,0.007822
