epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,755.998,1.08683,4.9521,1.58141,0.06671,0.39414,0.02377,0.01662,1.04095,3.49155,1.74809,0.00333108,0.00333108,0.00333108
2,1503.37,0.94539,3.84717,1.42515,0.38276,0.18469,0.10311,0.07324,1.0326,2.95748,1.72326,0.00644449,0.00644449,0.00644449
3,2248.05,0.94454,3.49606,1.41895,0.30136,0.19894,0.11987,0.08329,1.01194,2.95883,1.71633,0.0093379,0.0093379,0.0093379
4,2990.93,0.94853,3.26085,1.41583,0.28927,0.28104,0.19037,0.13513,0.9911,2.5827,1.68001,0.00901,0.00901,0.00901
5,3734.41,0.92671,2.92697,1.39228,0.31492,0.35131,0.26174,0.1893,0.96197,2.30781,1.64767,0.00868,0.00868,0.00868
6,4478.03,0.90606,2.70856,1.37629,0.3471,0.38301,0.3094,0.22603,0.95823,2.17722,1.61913,0.00835,0.00835,0.00835
7,5222.08,0.89029,2.57144,1.36553,0.35431,0.4257,0.35991,0.2683,0.91806,2.04109,1.58057,0.00802,0.00802,0.00802
8,5966.42,0.87735,2.45315,1.35589,0.39697,0.43131,0.39525,0.29566,0.9069,1.94694,1.5769,0.00769,0.00769,0.00769
9,6710.86,0.86032,2.35488,1.3435,0.40889,0.45117,0.42226,0.31435,0.90841,1.87156,1.55784,0.00736,0.00736,0.00736
10,7453.46,0.85619,2.28611,1.33966,0.43965,0.46872,0.44831,0.33345,0.9054,1.78764,1.55263,0.00703,0.00703,0.00703
11,8196.86,0.84499,2.21465,1.33425,0.47097,0.48253,0.47627,0.35697,0.89391,1.7222,1.54446,0.0067,0.0067,0.0067
12,8939.58,0.83762,2.14905,1.3277,0.46722,0.5128,0.49899,0.3762,0.87618,1.65061,1.5347,0.00637,0.00637,0.00637
13,9681.91,0.82369,2.08652,1.31889,0.5184,0.51962,0.52963,0.40273,0.8684,1.58079,1.51411,0.00604,0.00604,0.00604
14,10424.7,0.82245,2.02665,1.31766,0.51886,0.52911,0.54504,0.41788,0.84311,1.53149,1.49672,0.00571,0.00571,0.00571
15,11168.3,0.81224,1.97714,1.31029,0.54748,0.55432,0.56266,0.43126,0.84561,1.48837,1.49671,0.00538,0.00538,0.00538
16,11911.5,0.80404,1.92374,1.30322,0.55994,0.55467,0.58084,0.44666,0.84342,1.43841,1.49479,0.00505,0.00505,0.00505
17,12654.6,0.79629,1.87444,1.29977,0.58156,0.5521,0.59566,0.45899,0.83874,1.39864,1.49342,0.00472,0.00472,0.00472
18,13398.1,0.7882,1.82145,1.29364,0.58673,0.57334,0.60816,0.46944,0.83588,1.36616,1.48101,0.00439,0.00439,0.00439
